id,x,y,z,is_concave,confidence,plane0,plane1,plane2
0,-0.999058,0.100154,-0.758911,0,0.000000,0,1,10
1,1.000953,0.100141,-0.758913,0,0.000000,0,1,11
2,0.100994,0.100142,-0.558951,1,0.900000,0,2,5
3,0.100914,0.100095,1.241088,0,0.000000,0,2,12
4,-0.099098,0.100143,-0.558961,1,0.900000,0,3,4
5,-0.099016,0.100097,1.241088,0,0.000000,0,3,12
6,-0.999056,0.100149,-0.559002,0,0.000000,0,4,10
7,1.000951,0.100135,-0.558910,0,0.000000,0,5,11
8,-0.999040,0.100103,1.241087,0,0.000000,0,10,12
9,1.000929,0.100089,1.241088,0,0.000000,0,11,12
10,-0.999028,1.000111,-0.758894,0,0.000000,1,10,14
11,1.000924,1.000111,-0.758895,0,0.000000,1,11,13
12,0.100893,1.000111,1.241049,0,0.000000,2,12,15
13,-0.098997,1.000111,1.241049,0,0.000000,3,12,15
14,-0.999027,1.000111,-0.559090,0,0.000000,4,10,14
15,1.000922,1.000111,-0.558998,0,0.000000,5,11,13
