id,x,y,z,is_concave,confidence,plane0,plane1,plane2
0,0.100947,0.100120,-0.558921,1,0.900000,0,1,4
1,0.100946,-0.099886,-0.558922,1,0.900000,0,1,6
2,0.100948,1.000111,-0.558917,0,0.000000,0,1,10
3,0.100945,-0.999889,-0.558925,0,0.000000,0,1,11
4,-0.099065,0.100120,-0.558922,1,0.900000,0,2,3
5,-0.099065,-0.099885,-0.558922,1,0.900000,0,2,5
6,-0.099062,1.000111,-0.558918,0,0.000000,0,2,10
7,-0.099068,-0.999889,-0.558926,0,0.000000,0,2,11
8,-0.999047,0.100122,-0.558926,0,0.000000,0,3,9
9,1.000943,0.100117,-0.558917,0,0.000000,0,4,8
10,-0.999047,-0.099881,-0.558927,0,0.000000,0,5,9
11,1.000943,-0.099889,-0.558918,0,0.000000,0,6,8
12,1.000942,1.000111,-0.558913,0,0.000000,0,8,10
13,1.000944,-0.999889,-0.558921,0,0.000000,0,8,11
14,-0.999047,1.000111,-0.558922,0,0.000000,0,9,10
15,-0.999048,-0.999889,-0.558930,0,0.000000,0,9,11
16,0.100913,0.100060,1.241061,0,0.000000,1,4,7
17,0.100913,-0.099842,1.241061,0,0.000000,1,6,7
18,0.100915,1.000111,1.241061,0,0.000000,1,7,10
19,0.100912,-0.999889,1.241061,0,0.000000,1,7,11
20,-0.099012,0.100061,1.241062,0,0.000000,2,3,7
21,-0.099013,-0.099841,1.241062,0,0.000000,2,5,7
22,-0.099010,1.000111,1.241062,0,0.000000,2,7,10
23,-0.099015,-0.999889,1.241062,0,0.000000,2,7,11
24,-0.999056,0.100063,1.241065,0,0.000000,3,7,9
25,1.000949,0.100058,1.241058,0,0.000000,4,7,8
26,-0.999056,-0.099838,1.241065,0,0.000000,5,7,9
27,1.000949,-0.099846,1.241058,0,0.000000,6,7,8
28,1.000947,1.000111,1.241058,0,0.000000,7,8,10
29,1.000950,-0.999889,1.241058,0,0.000000,7,8,11
30,-0.999055,1.000111,1.241065,0,0.000000,7,9,10
31,-0.999056,-0.999889,1.241065,0,0.000000,7,9,11
