id,x,y,z,is_concave,confidence,plane0,plane1,plane2
0,0.100994,0.100141,-0.558924,1,0.961977,0,4,7
1,1.000957,0.100134,-0.558923,1,0.978686,0,7,9
2,-0.099098,0.100142,-0.558925,1,0.961938,1,5,6
3,-0.999063,0.100148,-0.558926,1,0.981180,1,6,8
4,-0.999067,0.100153,-0.758915,1,0.992691,2,3,8
5,1.000960,0.100139,-0.758917,1,0.963008,2,3,9
6,-0.999024,1.000111,-0.758890,0,0.000000,3,8,12
7,1.000921,1.000111,-0.758892,0,0.000000,3,9,11
8,0.100893,1.000111,1.241038,0,0.000000,4,10,13
9,-0.098996,1.000111,1.241037,0,0.000000,5,10,13
10,-0.999021,1.000111,-0.558997,0,0.000000,6,8,12
11,1.000917,1.000111,-0.558995,0,0.000000,7,9,11
